Country,Country_Subdivision_Primary,State,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US,FL,FL-7,651700,577300,46640000,1129125,4288100,14794000,4309000,188715000,2479400,2718450,6050250,505150
US,US,FL,FL-8,574500,510400,41059000,998250,3791700,13063000,3810000,167175000,2190900,2407500,5355750,445450
US,US,FL,FL-9,624300,552450,44670000,1080525,4103800,14158000,4123500,180502500,2372900,2599800,5784000,483350
US,US,GA,GA-1,238600,213950,16947000,418400,1589600,5449000,1597500,70530000,916500,1015275,2256000,185050
US,US,GA,GA-10,214100,192450,15225750,376425,1430400,4895000,1437500,63622500,824400,914100,2030250,166100
US,US,GA,GA-11,264400,236450,18886000,462450,1757100,6033000,1765500,77827500,1014100,1119375,2487750,205050
US,US,GA,GA-12,193900,174400,13781000,341050,1296100,4433000,1302500,57675000,746700,828675,1840500,150350
US,US,GA,GA-13,373700,335500,26587000,656125,2493000,8540000,2505500,110752500,1437300,1592325,3538500,290100
US,US,GA,GA-14,191400,172050,13610750,336500,1278800,4375000,1285000,56887500,736700,817200,1815000,148450
US,US,GA,GA-2,194200,174350,13807750,340950,1295600,4435000,1302000,57585000,746700,827550,1838250,150600
US,US,GA,GA-3,224900,202150,15983500,395375,1502300,5142000,1509500,66817500,865900,960225,2133750,174600
US,US,GA,GA-4,269400,241500,19202750,472350,1795000,6149000,1803500,79680000,1034900,1145100,2544000,208800
US,US,GA,GA-5,1157400,1044150,82352750,2042100,7764000,26465000,7798500,346665000,4468000,4965750,11026500,896150
US,US,GA,GA-6,815600,723350,58612250,1414725,5374200,18547000,5399000,236535000,3109200,3405900,7571250,631700
US,US,GA,GA-7,395900,353700,28304750,691800,2628700,9026000,2641000,116340000,1517500,1672800,3716250,306750
US,US,GA,GA-8,162700,146150,11569000,285800,1086100,3717000,1091500,48292500,625800,693825,1540500,126150
US,US,GA,GA-9,228300,205000,16222250,400900,1523200,5217000,1530500,67695000,878200,973200,2162250,177150
US,US,HI,HI-1,200000,178600,14214750,349325,1326400,4566000,1333500,58612500,766000,846300,1882500,155500
US,US,HI,HI-2,173500,155200,12318250,303525,1152500,3964000,1159000,51000000,665300,735975,1636500,134900
US,US,IA,IA-1,2192900,1972400,156331000,3857675,14664600,50277000,14733500,654052500,8445500,9389400,20866500,1697050
US,US,IA,IA-2,1971200,1775300,140299750,3472225,13198000,45230000,13262000,589260000,7600600,8457825,18809250,1527700
US,US,IA,IA-3,2633900,2367900,187668750,4631275,17604700,60359000,17688000,784860000,10137700,11269500,25074750,2040000
US,US,IA,IA-4,1498600,1347450,106869000,2635400,10019800,34335000,10065500,446662500,5767300,6413475,14244750,1158250
US,US,ID,ID-1,223200,199750,15833500,390725,1483700,5101000,1492000,65677500,856700,947550,2107500,173700
US,US,ID,ID-2,235900,211100,16733750,412925,1568000,5390000,1576500,69420000,905300,1001325,2226750,183550
US,US,IL,IL-1,245900,220900,17486000,432050,1641900,5618000,1650000,73020000,945800,1049475,2330250,190550
US,US,IL,IL-10,242200,217350,17239500,425125,1615500,5530000,1623000,71797500,930900,1031775,2291250,187700
US,US,IL,IL-11,275900,247050,19679750,483175,1836200,6289000,1844500,81510000,1058200,1171050,2601000,213600
US,US,IL,IL-12,388300,343950,27946000,672700,2555900,8799000,2567500,112627500,1476300,1620225,3600750,299950
US,US,IL,IL-13,308000,273950,22094000,535825,2036000,7006000,2045500,89865000,1175900,1293450,2873250,238050
US,US,IL,IL-14,647400,575650,46574750,1125875,4278700,14733000,4297500,188782500,2470500,2716950,6036000,500200
US,US,IL,IL-15,216000,193250,15400000,377975,1436100,4926000,1443000,63630000,828300,915675,2033250,167400
US,US,IL,IL-16,250300,224450,17821250,438925,1667900,5713000,1676000,74077500,961300,1064775,2364750,193900
US,US,IL,IL-17,190900,171500,13571500,335400,1274600,4364000,1281000,56677500,734400,814875,1809750,147950
US,US,IL,IL-18,184400,165400,13124250,323450,1229100,4211000,1235000,54585000,708400,784800,1743000,142900
US,US,IL,IL-2,296800,266000,21072250,520200,1976400,6771000,1986000,87787500,1139200,1261875,2802750,229950
US,US,IL,IL-3,371600,334550,26446250,654275,2487000,8494000,2498500,110827500,1431800,1590225,3529500,287750
US,US,IL,IL-4,409300,369500,29140250,722650,2748000,9355000,2760000,122842500,1580100,1758450,3899250,316200
US,US,IL,IL-5,410000,368250,29148750,720225,2736700,9368000,2750000,121635000,1576800,1749225,3885000,317850
US,US,IL,IL-6,517400,456700,37184250,893200,3392700,11704000,3408500,149182500,1961400,2146800,4775250,399350
US,US,IL,IL-7,793100,712300,56399500,1393050,5294700,18096000,5319500,235335000,3049200,3383250,7504500,612900
US,US,IL,IL-8,438800,392050,31315000,766825,2913800,9994000,2927500,129127500,1680300,1856325,4125000,339800
US,US,IL,IL-9,441300,396400,31361500,775325,2945900,10087000,2960500,130935000,1697700,1883175,4184250,342350
US,US,IN,IN-1,503000,443000,36123250,866425,3289800,11367000,3306000,144457500,1903100,2081925,4634250,388700
US,US,IN,IN-2,517200,453450,37208750,886925,3367200,11653000,3383500,147450000,1949000,2126625,4736250,399100
US,US,IN,IN-3,514300,450700,37072250,881525,3347000,11588000,3363000,146512500,1937400,2111925,4701750,396650
US,US,IN,IN-4,546000,478600,39340000,936100,3554200,12300000,3571000,155670000,2057400,2243475,4996500,421300
US,US,IN,IN-5,661700,579850,47622250,1134100,4305600,14898000,4326500,188572500,2492000,2718000,6052500,510550
US,US,IN,IN-6,528600,463400,38073750,906325,3441300,11907000,3457500,150765000,1991600,2172375,4837500,407750
US,US,IN,IN-7,578400,506900,41710750,991475,3764300,13032000,3782500,164812500,2179300,2376225,5289750,446250
US,US,IN,IN-8,440500,386200,31692000,755325,2867500,9926000,2881500,125580000,1660000,1810200,4032750,340150
US,US,IN,IN-9,630800,553800,45414000,1083200,4112300,14231000,4132500,180247500,2380600,2598300,5787000,487350
US,US,KS,KS-1,160100,142700,11401750,279125,1059900,3650000,1065500,46822500,612300,675450,1503000,124300
US,US,KS,KS-2,538900,472800,38766000,924700,3511500,12146000,3528000,153825000,2031700,2216025,4943250,416200
US,US,KS,KS-3,711500,623600,51122500,1219650,4631000,16006000,4653000,203122500,2679200,2922975,6526500,549400
US,US,KS,KS-4,177000,158100,12577750,309175,1173900,4042000,1180500,51900000,678200,748875,1667250,137750
US,US,KY,KY-1,238100,213600,16883000,417800,1585400,5471000,1595000,70342500,918200,1012575,2265750,187400
US,US,KY,KY-2,318800,286050,22594750,559450,2123100,7327000,2136000,94192500,1229500,1355850,3033750,250800
US,US,KY,KY-3,437000,393100,30971750,768825,2917800,10069000,2935500,129750000,1690500,1865025,4179750,344600
US,US,KY,KY-4,320500,287800,22718500,562850,2136600,7362000,2149000,94860000,1235800,1365150,3051000,251550
US,US,KY,KY-5,238700,214350,16938500,419200,1591200,5491000,1600500,70635000,921400,1016325,2274750,187750
US,US,KY,KY-6,747900,660950,53465750,1292700,4907800,16980000,4932500,215655000,2841500,3106275,6937500,582050
US,US,LA,LA-1,311600,278850,22063500,545425,2070000,7136000,2082500,91522500,1196400,1322175,2949000,243900
US,US,LA,LA-2,298800,267500,21168250,523225,1985900,6844000,1997500,87832500,1147100,1268700,2830500,233650
US,US,LA,LA-3,234700,210300,16627000,411350,1561200,5383000,1570500,69105000,902500,997500,2227500,183900
US,US,LA,LA-4,198800,177900,14079000,347950,1320600,4553000,1328500,58387500,763100,843450,1881750,155500
US,US,LA,LA-5,164400,147200,11645250,287900,1092700,3767000,1099000,48337500,631500,697950,1557750,128700
US,US,LA,LA-6,216100,193200,15325000,377900,1434300,4947000,1442500,63360000,829100,915075,2041500,169150
US,US,MA,MA-1,412500,371150,29332500,725875,2759300,9424000,2772000,123037500,1588700,1764225,3915750,319250
US,US,MA,MA-2,393200,353000,27964000,690350,2623500,8983000,2636000,116655000,1511500,1676400,3723000,304650
US,US,MA,MA-3,488300,436050,34789250,852800,3241100,11097000,3256000,143947500,1867300,2066400,4593000,377550
US,US,MA,MA-4,388400,348850,27608750,682300,2592800,8877000,2605500,115297500,1493700,1657350,3681750,301150
US,US,MA,MA-5,515100,462500,36582500,904550,3437000,11769000,3454000,152887500,1980300,2197125,4880250,399300
US,US,MA,MA-6,458000,411300,32543000,804425,3056800,10465000,3071500,135990000,1761100,1953975,4341000,355150
US,US,MA,MA-7,520800,465500,36969500,910450,3458800,11867000,3476000,153270000,1994600,2206950,4903500,403100
US,US,MA,MA-8,931400,840200,66295500,1643200,6248400,21300000,6276000,279420000,3592000,4001475,8866500,719100
US,US,MA,MA-9,398400,357600,28295500,699350,2656900,9104000,2670500,118125000,1531600,1697850,3774000,309400
US,US,MD,MD-1,222000,198950,15748000,389075,1477800,5070000,1485500,65527500,852100,944250,2098500,172450
US,US,MD,MD-2,320600,287750,22764000,562775,2138100,7321000,2149000,95002500,1231700,1366800,3036000,248650
US,US,MD,MD-3,285200,256050,20252750,500775,1902500,6516000,1912000,84540000,1096100,1216275,2702250,221350
US,US,MD,MD-4,249200,223800,17689500,437675,1663000,5693000,1671500,73897500,957400,1063725,2360250,193050
US,US,MD,MD-5,321900,289050,22857500,565350,2148200,7357000,2159000,95452500,1237200,1374000,3049500,249450
US,US,MD,MD-6,408900,363600,29183750,711125,2701100,9281000,2714500,119467500,1558300,1719675,3817500,315700
US,US,MD,MD-7,190800,171100,13538000,334650,1271300,4355000,1278000,56452500,732400,812550,1806000,148050
US,US,MD,MD-8,511800,458650,36351500,897075,3408000,11683000,3425500,151252500,1964100,2178300,4838250,396600
US,US,ME,ME-1,723400,647500,51735250,1266375,4812700,16494000,4835000,213862500,2774000,3069375,6816000,559350
US,US,ME,ME-2,804200,715250,57619750,1398850,5315700,18256000,5340000,235432500,3065800,3379650,7517250,620700
US,US,MI,MI-1,323400,289450,23036250,566100,2150900,7377000,2161500,95445000,1240700,1371600,3048750,250650
US,US,MI,MI-10,339700,304550,24193750,595675,2263900,7750000,2274500,100650000,1304800,1444500,3208500,262950
US,US,MI,MI-11,941100,836250,67555500,1635525,6214200,21397000,6242500,274222500,3589700,3944850,8764500,727300
US,US,MI,MI-12,710500,636250,50624000,1244400,4729400,16192000,4751000,209977500,2726300,3014550,6696750,549800
US,US,MI,MI-13,438100,392250,31277750,767100,2916300,9974000,2929000,129510000,1680300,1857450,4122750,338250
US,US,MI,MI-14,629100,562150,44929500,1099400,4179000,14303000,4197000,185362500,2408500,2659800,5907750,485900
US,US,MI,MI-2,407100,364600,29051750,713100,2710300,9282000,2722500,120360000,1562400,1727925,3837750,315000
US,US,MI,MI-3,472200,422850,33648250,827000,3142700,10767000,3157500,139477500,1811900,2004000,4452000,365550
US,US,MI,MI-4,319000,286050,22705000,559500,2126100,7283000,2136500,94477500,1225400,1357350,3015750,247100
US,US,MI,MI-5,353300,316350,25131500,618700,2351000,8054000,2362000,104392500,1355400,1499400,3331500,273600
US,US,MI,MI-6,408700,363950,29255750,711775,2704100,9290000,2717000,119685000,1560600,1719825,3824250,316000
US,US,MI,MI-7,384900,344100,27411000,673000,2557200,8774000,2569500,113295000,1474900,1629900,3621000,298050
US,US,MI,MI-8,823600,730000,59306500,1427800,5425900,18704000,5449000,238822500,3135400,3438075,7640250,636050
US,US,MI,MI-9,474800,425100,33798500,831375,3159200,10824000,3174000,140310000,1821600,2014275,4476000,367700
US,US,MN,MN-1,745100,655350,53868000,1281750,4868900,16803000,4891000,213802500,2814500,3076575,6841500,573800
US,US,MN,MN-2,677600,597800,48890500,1169150,4441400,15324000,4461500,195285000,2567700,2809500,6249750,522850
US,US,MN,MN-3,502500,444850,36029750,870025,3305100,11377000,3320500,145800000,1908900,2096025,4664250,388050
US,US,MN,MN-4,567300,506200,40559250,990050,3762000,12909000,3779500,166695000,2169800,2395425,5322750,438900
US,US,MN,MN-5,1278100,1141950,91274750,2233400,8487500,29099000,8526500,376537500,4893800,5408175,12010500,988050
US,US,MN,MN-6,292500,261300,20863250,511075,1941900,6662000,1951000,86077500,1120000,1237500,2748750,226400
US,US,MN,MN-7,350000,311800,25006750,609825,2317200,7959000,2328000,102562500,1337000,1474575,3276000,270450
US,US,MN,MN-8,446400,394050,32033250,770650,2927300,10083000,2941000,129037500,1690700,1854900,4132500,344500
US,US,MO,MO-1,1493800,1314850,107500500,2571650,9769600,33713000,9812000,428985000,5648300,6168375,13744500,1152900
US,US,MO,MO-2,809200,710100,58297500,1388850,5275500,18227000,5298500,231217500,3051000,3326925,7413750,624200
US,US,MO,MO-3,655000,575850,47107250,1126300,4278400,14767000,4297000,187852500,2473800,2700300,6020250,505600
US,US,MO,MO-4,662300,583250,47589500,1140775,4333600,14950000,4353000,190455000,2505100,2737950,6103500,511450
US,US,MO,MO-5,1078700,952900,77461500,1863675,7081200,24383000,7111500,311857500,4090700,4478700,9975750,832800
US,US,MO,MO-6,580900,511100,41742250,999625,3797300,13104000,3814000,166792500,2195300,2397900,5345250,448500
US,US,MO,MO-7,719200,634200,51626500,1240350,4712100,16241000,4733000,207300000,2723200,2978700,6637500,555300
US,US,MO,MO-8,530000,466500,38082000,912400,3465900,11960000,3481000,152265000,2003900,2189025,4880250,409250
US,US,MS,MS-1,333400,298100,23698250,583025,2216200,7612000,2226000,98032500,1276900,1409100,3128250,258500
US,US,MS,MS-2,274900,246050,19538250,481250,1829400,6281000,1837500,80955000,1053900,1163550,2581500,213200
US,US,MS,MS-3,401100,359400,28513500,702875,2672000,9166000,2683500,118372500,1539000,1700250,3772500,311000
US,US,MS,MS-4,378900,338500,26900500,662025,2515800,8651000,2527500,111172500,1450400,1599525,3550500,294050
US,US,MT,MT-AT LARGE,1900700,1658850,137153750,3244525,12320300,42671000,12376000,538537500,7134700,7752000,17297250,1466150
US,US,NC,NC-1,439900,395400,31276250,773350,2939100,10055000,2953500,130785000,1691900,1880175,4173000,340750
US,US,NC,NC-10,321200,288650,22843750,564550,2145600,7342000,2156000,95392500,1235600,1372050,3042750,248750
US,US,NC,NC-11,437200,392950,31063500,768550,2920600,9995000,2935000,129862500,1682100,1867800,4146000,338850
US,US,NC,NC-12,1044800,937750,74484250,1834050,6969600,23870000,7003000,310147500,4018200,4451400,9879000,808900
US,US,NC,NC-13,444200,396500,31859750,775475,2947300,10123000,2960500,130402500,1700300,1875300,4161000,343400
US,US,NC,NC-2,633700,570150,45210750,1115025,4239200,14488000,4258000,188835000,2441000,2708625,6008250,490200
US,US,NC,NC-3,314000,282250,22274500,552000,2096900,7189000,2107500,93135000,1209000,1341300,2980500,243900
US,US,NC,NC-4,618200,556600,43973750,1088625,4138000,14137000,4157500,184462500,2381300,2648100,5874750,478650
US,US,NC,NC-5,412800,371000,29390750,725625,2758100,9433000,2771000,122730000,1588400,1762650,3911250,319550
US,US,NC,NC-6,329700,296200,23470500,579300,2201900,7534000,2212000,97920000,1268000,1407300,3122250,255100
US,US,NC,NC-7,392900,353350,27931500,691050,2626200,8987000,2639000,116857500,1512800,1679550,3728250,304600
US,US,NC,NC-8,417600,374950,29726000,733300,2786500,9545000,2800000,123817500,1606100,1780275,3951750,323550
US,US,NC,NC-9,901400,809900,64476000,1584075,6004300,20805000,6044500,266572500,3496500,3831750,8596500,717700
US,US,ND,ND-AT LARGE,966700,841950,69582000,1646725,6252100,21648000,6281000,273270000,3619300,3931950,8778000,744450
US,US,NE,NE-1,182800,163350,13020500,319525,1213300,4178000,1220000,53677500,701100,773925,1722000,142200
US,US,NE,NE-2,427400,379150,30553000,741575,2816100,9714000,2830500,124065000,1628200,1789125,3984750,331450
US,US,NE,NE-3,136300,121700,9714250,238000,903700,3113000,908500,39937500,522300,575925,1281750,106050
US,US,NH,NH-1,1981700,1788700,140990250,3498225,13302500,45415000,13362000,595267500,7654700,8514600,18927750,1538050
US,US,NH,NH-2,1769900,1597300,125997500,3123925,11879400,40563000,11932000,531547500,6836200,7603800,16905000,1373300
US,US,NJ,NJ-1,376600,336600,26833750,658325,2501000,8595000,2513500,110685000,1443500,1593975,3546750,292150
US,US,NJ,NJ-10,342800,305000,24511000,596500,2266000,7807000,2277000,99862500,1308800,1441200,3200250,265400
US,US,NJ,NJ-11,553800,490100,39711500,958525,3640400,12572000,3658000,159982500,2105300,2307375,5128500,428450
US,US,NJ,NJ-12,332800,296100,23765000,579125,2199600,7578000,2210500,96997500,1270800,1398975,3111000,258100
US,US,NJ,NJ-2,311500,277600,22226000,542925,2062500,7106000,2072500,90967500,1191100,1312425,2919000,241900
US,US,NJ,NJ-3,659200,583900,47190500,1141975,4338300,14971000,4358500,190905000,2507000,2751000,6129000,510450
US,US,NJ,NJ-4,360500,320350,25794500,626600,2380100,8205000,2391500,104865000,1375300,1512150,3362250,279450
US,US,NJ,NJ-5,366400,325650,26183750,636900,2419100,8334000,2431000,106680000,1397600,1537950,3418500,283750
US,US,NJ,NJ-6,319200,284650,22775750,556725,2114900,7280000,2125500,93367500,1221300,1346775,2991750,247500
US,US,NJ,NJ-7,787600,691650,56724250,1352775,5137100,17752000,5161500,225405000,2971300,3245625,7234500,607750
US,US,NJ,NJ-8,630400,562950,44930000,1101000,4182700,14383000,4203500,184845000,2413900,2666325,5921250,488300
US,US,NJ,NJ-9,484800,433600,34535500,848050,3221900,11072000,3238000,142620000,1858800,2055450,4566000,375950
US,US,NM,NM-1,305100,271050,21753750,530100,2012400,6941000,2023000,88710000,1163500,1279950,2850000,236850
US,US,NM,NM-2,554700,490400,39973000,959125,3642700,12596000,3660000,160050000,2107800,2307300,5134500,429250
US,US,NM,NM-3,218600,194100,15608750,379600,1441400,4969000,1449000,63547500,833000,916350,2040000,169600
US,US,NV,NV-1,2238700,1993250,160878250,3898450,14815700,50894000,14879000,655245000,8555900,9405300,20884500,1728700
US,US,NV,NV-2,1332700,1183050,95711500,2313775,8790900,30245000,8830000,388207500,5079800,5573925,12404250,1030700
US,US,NV,NV-3,1996100,1776000,143446000,3473550,13197600,45378000,13257500,583612500,7625000,8379675,18630750,1544050
US,US,NV,NV-4,1047100,933350,75166000,1825400,6935700,23836000,6967500,307072500,4006600,4407750,9801750,810650
US,US,NY,NY-1,376100,335250,26860000,655700,2490400,8574000,2503000,110115000,1438500,1586400,3525750,291550
